cve,svn_commit,other_platform_git_commit,github_commit,equivalent_commit
CVE-2012-5633,http://svn.apache.org/viewvc?view=revision&revision=1409326,,,git_94a98b3fe9c79e2cf3941acbbad216ba54999bc0==svn_1409326
CVE-2012-5633,,,https://github.com/apache/cxf/commit/1a6b532d53a7b98018871982049e4b0c80dc837c,svn_1420698==git_1a6b532d53a7b98018871982049e4b0c80dc837c
CVE-2012-5633,,,https://github.com/apache/cxf/commit/db11c9115f31e171de4622149f157d8283f6c720,git_db11c9115f31e171de4622149f157d8283f6c720==svn_1409324
CVE-2012-5633,,,https://github.com/apache/cxf/commit/d99f96aa970d9f2faa8ed45e278a403af48757ae,git_d99f96aa970d9f2faa8ed45e278a403af48757ae==git_e733c692e933a7f82424d3744aace9304cd5d4f6
CVE-2012-5633,,,https://github.com/apache/cxf/commit/e733c692e933a7f82424d3744aace9304cd5d4f6,git_d99f96aa970d9f2faa8ed45e278a403af48757ae==git_e733c692e933a7f82424d3744aace9304cd5d4f6
CVE-2012-5633,,,https://github.com/apache/cxf/commit/94a98b3fe9c79e2cf3941acbbad216ba54999bc0,git_94a98b3fe9c79e2cf3941acbbad216ba54999bc0==svn_1409326
CVE-2012-5812,,,https://github.com/ACRA/acra/commit/fff732595164baf233d911386a3965dc516cf081,
CVE-2012-6153,http://svn.apache.org/viewvc?view=revision&revision=1411705,,,
CVE-2012-6708,,,https://github.com/jquery/jquery/commit/05531fc4080ae24070930d15ae0cea7ae056457d,
CVE-2013-0248,,,https://github.com/apache/commons-fileupload/commit/7d9e956627a3803c1fc5734e2b18113a033e6f60,git_7d9e956627a3803c1fc5734e2b18113a033e6f60==git_f874563307c1159ac634df67509d9859bca6ddb9
CVE-2013-0248,,,https://github.com/apache/commons-fileupload/commit/f874563307c1159ac634df67509d9859bca6ddb9,git_7d9e956627a3803c1fc5734e2b18113a033e6f60==git_f874563307c1159ac634df67509d9859bca6ddb9
CVE-2013-1879,,,https://github.com/apache/activemq/commit/148ca81dcd8f14cfe2ff37012fd1aa42518f02dc,
CVE-2013-1880,,,https://github.com/apache/activemq/commit/fafd12dfd4f71336f8e32c090d40ed1445959b40,
CVE-2013-2035,,,https://github.com/fusesource/hawtjni/commit/92c266170ce98edc200c656bd034a237098b8aa5,
CVE-2013-2115,,,https://github.com/apache/struts/commit/fed4f8e8a4ec69b5e7612b92d8ce3e476680474,
CVE-2013-2115,,,https://github.com/apache/struts/commit/d7804297e319c7a12245e1b536e565fcea6d650,
CVE-2013-2134,https://svn.apache.org/viewvc?view=revision&revision=r1490149,,,git_711cf0201cdd319a38cf29238913312355db29ba==svn_1490149
CVE-2013-2134,,,https://github.com/apache/struts/commit/54e5c912ebd9a1599bfcf7a719da17c28127bbe,git_711cf0201cdd319a38cf29238913312355db29ba==git_cfb6e9afbae320a4dd5bdd655154ab9fe5a92c1+git_01e6b251b4db78bfb7971033652e81d1af4cb3e+git_54e5c912ebd9a1599bfcf7a719da17c28127bbe
CVE-2013-2134,,,https://github.com/apache/struts/commit/01e6b251b4db78bfb7971033652e81d1af4cb3e,git_711cf0201cdd319a38cf29238913312355db29ba==git_cfb6e9afbae320a4dd5bdd655154ab9fe5a92c1+git_01e6b251b4db78bfb7971033652e81d1af4cb3e+git_54e5c912ebd9a1599bfcf7a719da17c28127bbe
CVE-2013-2134,,,https://github.com/apache/struts/commit/cfb6e9afbae320a4dd5bdd655154ab9fe5a92c1,git_711cf0201cdd319a38cf29238913312355db29ba==git_cfb6e9afbae320a4dd5bdd655154ab9fe5a92c1+git_01e6b251b4db78bfb7971033652e81d1af4cb3e+git_54e5c912ebd9a1599bfcf7a719da17c28127bbe
CVE-2013-2134,,,https://github.com/apache/struts/commit/711cf0201cdd319a38cf29238913312355db29ba,git_711cf0201cdd319a38cf29238913312355db29ba==git_cfb6e9afbae320a4dd5bdd655154ab9fe5a92c1+git_01e6b251b4db78bfb7971033652e81d1af4cb3e+git_54e5c912ebd9a1599bfcf7a719da17c28127bbe
CVE-2013-2135,https://svn.apache.org/viewvc?view=revision&revision=r1490149,,,git_711cf0201cdd319a38cf29238913312355db29ba==svn_1490149
CVE-2013-2135,,,https://github.com/apache/struts/commit/54e5c912ebd9a1599bfcf7a719da17c28127bbe,git_711cf0201cdd319a38cf29238913312355db29ba==git_cfb6e9afbae320a4dd5bdd655154ab9fe5a92c1+git_01e6b251b4db78bfb7971033652e81d1af4cb3e+git_54e5c912ebd9a1599bfcf7a719da17c28127bbe
CVE-2013-2135,,,https://github.com/apache/struts/commit/01e6b251b4db78bfb7971033652e81d1af4cb3e,git_711cf0201cdd319a38cf29238913312355db29ba==git_cfb6e9afbae320a4dd5bdd655154ab9fe5a92c1+git_01e6b251b4db78bfb7971033652e81d1af4cb3e+git_54e5c912ebd9a1599bfcf7a719da17c28127bbe
CVE-2013-2135,,,https://github.com/apache/struts/commit/cfb6e9afbae320a4dd5bdd655154ab9fe5a92c1,git_711cf0201cdd319a38cf29238913312355db29ba==git_cfb6e9afbae320a4dd5bdd655154ab9fe5a92c1+git_01e6b251b4db78bfb7971033652e81d1af4cb3e+git_54e5c912ebd9a1599bfcf7a719da17c28127bbe
CVE-2013-2135,,,https://github.com/apache/struts/commit/711cf0201cdd319a38cf29238913312355db29ba,git_711cf0201cdd319a38cf29238913312355db29ba==git_cfb6e9afbae320a4dd5bdd655154ab9fe5a92c1+git_01e6b251b4db78bfb7971033652e81d1af4cb3e+git_54e5c912ebd9a1599bfcf7a719da17c28127bbe
CVE-2013-2172,http://svn.apache.org/viewvc?view=revision&revision=1493769,,,git_d0536272059bba735583809e2bfa5d249bb2e537==svn_1493769
CVE-2013-2172,,,https://github.com/apache/santuario-java/commit/d0536272059bba735583809e2bfa5d249bb2e537,git_d0536272059bba735583809e2bfa5d249bb2e537==svn_1493769
CVE-2013-2172,,,https://github.com/apache/santuario-java/commit/8e8f8bf92a43608d7d5f9e357fae19244454a61f,git_8e8f8bf92a43608d7d5f9e357fae19244454a61f==svn_1493772
CVE-2013-2172,http://svn.apache.org/viewvc?view=revision&revision=1493772,,,git_8e8f8bf92a43608d7d5f9e357fae19244454a61f==svn_1493772
CVE-2013-2254,,,https://github.com/apache/sling-org-apache-sling-servlets-post/commit/7ddd5df1282a47a99af1f7f4897fc7abe1ec056b,
CVE-2013-2254,,,https://github.com/apache/sling-old-svn-mirror/commit/5d6b77c4cdb45157eed65dc98e839e8825a06a0a,
CVE-2013-3300,,,https://github.com/lift/framework/commit/099d9c86cf6d81f4953957add478ab699946e601,
CVE-2013-4002,https://svn.apache.org/viewvc?view=revision&revision=1499506,,,svn_1499506==git_266e837852e0f0e3c8c1ad572b6fc4dbb4ded17b
CVE-2013-4002,,,https://github.com/apache/xerces2-j/commit/266e837852e0f0e3c8c1ad572b6fc4dbb4ded17b,svn_1499506==git_266e837852e0f0e3c8c1ad572b6fc4dbb4ded17b
CVE-2013-4152,,,https://github.com/spring-projects/spring-framework/commit/7576274874deeccb6da6b09a8d5bd62e8b5538b7,
CVE-2013-4152,,,https://github.com/spring-projects/spring-framework/commit/434735fbf6e7f9051af2ef027657edb99120b173,
CVE-2013-4152,,,https://github.com/spring-projects/spring-framework/commit/2c030d4dcf4866bccc7a59d47398d6bc0de52ce2,
CVE-2013-4152,,,https://github.com/spring-projects/spring-framework/commit/3515acfa3db84bb62ef8ef8794a214c0d55fd47e,
CVE-2013-4152,,,https://github.com/spring-projects/spring-framework/commit/2843b7d2ee12e3f9c458f6f816befd21b402e3b9,git_2843b7d2ee12e3f9c458f6f816befd21b402e3b9==git_3515acfa3db84bb62ef8ef8794a214c0d55fd47e
CVE-2013-4204,,,https://github.com/gwtproject/gwt/commit/4b1e5710d184205116e0e144b4501feb998e40b6,
CVE-2013-4286,http://svn.apache.org/viewvc?view=revision&revision=1552565,,,
CVE-2013-4286,http://svn.apache.org/viewvc?view=revision&revision=1521854,,,svn_1521854==git_41b90b6ebc3e7f898a5a87d197ddf63790d33315
CVE-2013-4286,http://svn.apache.org/viewvc?view=revision&revision=1521829,,,svn_1521829==git_bcce3e4997a4ed06fe03e2517443f3ad8ade2dfa
CVE-2013-4286,,,https://github.com/apache/tomcat/commit/bcce3e4997a4ed06fe03e2517443f3ad8ade2dfa,svn_1521829==git_bcce3e4997a4ed06fe03e2517443f3ad8ade2dfa
CVE-2013-4286,,,https://github.com/apache/tomcat/commit/41b90b6ebc3e7f898a5a87d197ddf63790d33315,svn_1521854==git_41b90b6ebc3e7f898a5a87d197ddf63790d33315
CVE-2013-4286,,,https://github.com/apache/tomcat80/commit/f0a7dc325201131ed31211c503c3a23714d8244f,svn_1521829==git_f0a7dc325201131ed31211c503c3a23714d8244f
CVE-2013-4286,,,https://github.com/apache/tomcat80/commit/ff00954b78e6484e40f323c0cef2e6d95c2882b9,svn_1521829==git_ff00954b78e6484e40f323c0cef2e6d95c2882b9
CVE-2013-4316,http://svn.apache.org/viewvc?view=revision&revision=r1524296,,,
CVE-2013-4316,,,https://github.com/apache/struts/commit/58947c3f85ae641c1a476316a2888e53605948d1,svn_1524296==git_58947c3f85ae641c1a476316a2888e53605948d1
CVE-2013-4322,http://svn.apache.org/viewvc?view=revision&revision=1556540,,,
CVE-2013-4322,http://svn.apache.org/viewvc?view=revision&revision=1549523,,,
CVE-2013-4322,http://svn.apache.org/viewvc?view=revision&revision=1549522,,,
CVE-2013-4322,http://svn.apache.org/viewvc?view=revision&revision=1521864,,,
CVE-2013-4322,http://svn.apache.org/viewvc?view=revision&revision=1521834,,,
CVE-2013-4322,,,https://github.com/apache/tomcat80/commit/d85d0d1764259b62db0374f01df4bf6dddb12712,svn_1521834==git_d85d0d1764259b62db0374f01df4bf6dddb12712
CVE-2013-4322,,,https://github.com/apache/tomcat80/commit/c806b2fc6b04ca4e928b3467d94f30f20c820d9d,svn_1549522==git_c806b2fc6b04ca4e928b3467d94f30f20c820d9d
CVE-2013-4322,,,https://github.com/apache/tomcat/commit/a91516b80deaf1d0c6e04a7931765fdac34c4ccd,svn_1549523==git_a91516b80deaf1d0c6e04a7931765fdac34c4ccd
